message_pattern,cost_per_hour
service_instance_id_service_name_otelcol_contrib_service_version_otelcol,2.068079669494182
cart_cartstore_ValkeyCartStore,0.29932146426290274
shipping_service_Post_shipping_get_quote_unsupported_protocol_scheme_shipping,0.26400938211008906
GetCartAsync_called_with_userId,0.20065731648355722
AddItemAsync_called_with_userId_productId_quantity,0.10420509288087487
failed_upload_metrics_Post_https_otel_collector_metrics_server_gave_HTTP,0.07307450054213405
cluster_metadata_nodeId_Marking_snapshot_offset_epoch_deletion_because_its,0.06732924235984683
oteldemo_AdService_no_baggage_found_in_context_trace_id_span_id_trace_flags,0.06240392290055752
cluster_metadata_Wrote_producer_snapshot_offset_with_producer_ids_in_ms,0.048088361509144306
Deleted_producer_state_snapshot_tmp_kafka_logs_cluster_metadata_snapshot,0.04655993124470115
cluster_metadata_timeindex_deleted_org_apache_kafka_storage_internals_LogSegment,0.045873044058680534
cluster_metadata_index_deleted_org_apache_kafka_storage_internals_LogSegment,0.04576453473418951
cluster_metadata_dir_tmp_kafka_logs_Rolled_new_segment_offset_in_ms_kafka,0.045201428700238466
cluster_metadata_deleted_org_apache_kafka_storage_internals_LogSegment,0.04516807710751891
cluster_metadata_dir_tmp_kafka_logs_Deleting_segments_due_start_offset_breach,0.0411330359056592
recommendation_trace_sampled_True_Receive_ListRecommendations_product_ids_L9ECAV7KIM,0.038525573909282684
recommendation_trace_sampled_True_Receive_ListRecommendations_product_ids,0.038256741128861904
we_have_replayed_least_bytes_org_apache_kafka_image_publisher_SnapshotGenerator,0.03755911672487855
application_version_git_commit_git_version_build_date,0.03749524522572756
cluster_metadata_dir_tmp_kafka_logs_Incremented_start_offset_due_snapshot,0.035499620251357555
Successfully_wrote_snapshot_org_apache_kafka_image_publisher_SnapshotEmitter,0.03493663435801864
Deleted_snapshot_files_snapshot_offset_epoch_org_apache_kafka_snapshot_Snapshots,0.03382010478526354
Deleting_segment_files_LogSegment_baseOffset_size_lastModifiedTime_kafka,0.02673604292795062
namespace_cache_size_pod_cache_size_pod_cache_api_updates_id_cache_miss,0.020174726843833923
Deleting_segment_files_LogSegment_baseOffset_size_lastModifiedTime_LogSegment,0.012838104274123907
AddItemAsync_called_with_userId_productId_L9ECAV7KIM_quantity,0.011863949708640575
sender_router_rule_uid_org_id_t_level_msg_Sending_alerts_local_notifier_count,0.011666396632790565
waiting_kafka,0.010720754507929087
AdService_Targeted_ad_request_received_assembly_trace_id_span_id_trace_flags,0.009501955937594175
AdService_Targeted_ad_request_received_accessories_trace_id_span_id_trace_flags,0.009201155975461006
oteldemo_AdService_Targeted_ad_request_received_trace_id_span_id_trace_flags,0.009122118819504976
request_received_preparing_random_response_trace_id_span_id_trace_flags,0.00912175141274929
AdService_Targeted_ad_request_received_travel_trace_id_span_id_trace_flags,0.009033914655447006
AdService_Targeted_ad_request_received_books_trace_id_span_id_trace_flags,0.008975336328148842
AdService_Targeted_ad_request_received_binoculars_trace_id_span_id_trace_flags,0.008929418865591288
KafkaConfig_values,0.005875973962247372
attempts_SMTP_not_configured_check_your_grafana_ini_config_file_s_smtp_section,0.0036574015393853188
using_configuration_file_ROOT,0.0034068189561367035
Starting_kafka_server_DelayedOperationPurgatory_ExpiredOperationReaper,0.003207623027265072
o_o_j_s_opensearch_Running_full_sweep,0.002989563625305891
grpc_addrConn_createTransport_failed_connect_Addr_jaeger_collector_ServerName,0.002332338597625494
cache_size_pod_cache_size_pod_cache_api_updates_id_cache_miss_pod_cache,0.0022423099726438522
Recorded_new_KRaft_controller_from_now_on_will_use_node_kafka_id_rack_kafka,0.0022142878733575344
C_Fork_CoW_RDB_current_MB_peak_MB_average_MB,0.0020315037108957767
changes_in_seconds_Saving,0.001981191337108612
ReplicaState_replicaKey_ReplicaKey_id_directoryId_Optional_empty_endOffset,0.0019352557137608528
C_DB_saved_on_disk,0.00192970409989357
msg_Error_on_ingesting_out_of_order_exemplars_component_web_num_dropped,0.0019279313273727894
plugin_kubernetes_waiting_Kubernetes_API_before_starting_server,0.0018965816125273705
global_cost_total,4.006431465328205
